image_id,method,min_pairwise_de2000,wcag_aa_coverage,wcag_aaa_coverage,reconstruction_error_de2000,harmony_alignment,runtime_seconds
coco_000000393093,kmeans_rgb,15.062012080090268,0.4,0.3,7.5942170918082885,0.5937213038026747,0.0730841250042431
coco_000000393093,kmeans_lab,15.309716509127307,0.4,0.3,7.334496180766172,0.7175771638802833,0.3896915419973084
coco_000000393115,dsp,26.20940651058603,0.2,0.1,11.333322284084549,0.4823999636524722,0.41568258300685557
coco_000000393115,median_cut,8.84897060018758,0.2,0.0,7.531998175659935,0.3144875785378702,0.2596821250044741
coco_000000393115,kmeans_rgb,10.667397916382104,0.2,0.1,7.4713923135949125,0.10799139703672707,0.10015962499892339
coco_000000393115,kmeans_lab,11.678054667103053,0.1,0.0,6.8013831033507754,0.27899408479992227,0.4333357919967966
coco_000000396729,dsp,15.866992255478637,0.2,0.0,3.6420740767766278,0.1052083014049493,0.4244536659971345
coco_000000396729,median_cut,1.0213372876297424,0.3,0.0,4.420749436230877,0.206790385561663,0.1546218340008636
coco_000000396729,kmeans_rgb,9.819258126030656,0.3,0.1,3.1603361377824446,0.30126245257292605,0.0648067079964676
coco_000000396729,kmeans_lab,12.362512260289312,0.3,0.1,3.1777214711023594,0.24640301538712556,0.3997001249954337
coco_000000403584,dsp,22.22762971594071,0.3,0.3,8.446679839166523,0.4972697249719529,0.43588170900329715
coco_000000403584,median_cut,11.559102567158941,0.2,0.2,6.664174265407517,0.5043309294898628,0.3483007910035667
coco_000000403584,kmeans_rgb,13.412994737757304,0.3,0.2,6.853440799957116,0.5239957983456209,0.1365777920000255
coco_000000403584,kmeans_lab,11.842207726417204,0.2,0.1,6.819696763147641,0.5659402294484134,0.4374483749998035
coco_000000412286,dsp,20.925172736451056,0.3,0.2,5.135653087451235,0.5002533462489006,0.2603327500037267
coco_000000412286,median_cut,5.442853618765049,0.1,0.0,4.758205890057098,0.6236148605784575,0.1006403749997844
coco_000000412286,kmeans_rgb,7.503320785299776,0.3,0.2,4.376952779241374,0.6415636994398847,0.047320874997240026
coco_000000412286,kmeans_lab,8.383286910016263,0.3,0.2,4.517941405248396,0.48420021797388335,0.3237823750023381
coco_000000418961,dsp,21.857588212567176,0.4,0.3,6.5260999782092926,0.6532135648954995,0.3459772080022958
coco_000000418961,median_cut,6.500511209877099,0.3,0.0,5.144983464804807,0.281514827309866,0.2560379160058801
coco_000000418961,kmeans_rgb,13.462083013305637,0.5,0.3,5.130436281063741,0.5108713456718745,0.15806175000034273
coco_000000418961,kmeans_lab,12.855868029372777,0.5,0.3,5.128818171937765,0.5360505582680269,0.3945069999972475
coco_000000423506,dsp,25.080171935195928,0.2,0.2,13.34414029223715,0.5774635980633287,0.3046116669938783
coco_000000423506,median_cut,11.573901786371986,0.1,0.0,12.316816800129837,0.6627724031996022,0.1506376250035828
coco_000000423506,kmeans_rgb,15.006769574525055,0.1,0.0,8.893258566641059,0.5812088653101705,0.0456274169991957
coco_000000423506,kmeans_lab,17.593868481605423,0.2,0.0,7.477489507499006,0.3125791127036548,0.2812152080005035
coco_000000437205,dsp,27.913368838538652,0.3,0.1,14.631011435609755,0.2745840526834563,0.3429568330029724
coco_000000437205,median_cut,10.543307968581045,0.3,0.2,12.531886015927938,0.4017998215724698,0.18101562499941792
coco_000000437205,kmeans_rgb,15.247147893328505,0.3,0.1,9.292564122648399,0.36887962633345955,0.05534362499747658
coco_000000437205,kmeans_lab,19.073775352943134,0.4,0.1,8.8509535875364,0.4077737897461978,0.3700762919979752
coco_000000438304,dsp,33.44085996863447,0.2,0.1,10.139740402283598,0.4069454689225271,0.35204079200048
coco_000000438304,median_cut,7.160846050423424,0.2,0.1,9.154555675845197,0.33166585395993864,0.19914308299485128
coco_000000438304,kmeans_rgb,16.544920590109555,0.3,0.2,8.17757969824112,0.5979377037607015,0.05999654100014595
coco_000000438304,kmeans_lab,13.77717005784034,0.2,0.2,7.507848568407122,0.2538065126644013,0.3901031659988803
coco_000000440171,dsp,26.19388577069802,0.3,0.1,11.912521650968785,0.5295037547823236,0.38933366700075567
coco_000000440171,median_cut,7.789157078474367,0.5,0.4,9.833262594903779,0.5589479203503254,0.267505625000922
coco_000000440171,kmeans_rgb,12.356615566036696,0.4,0.2,9.345961111975232,0.5088687394384882,0.09460512499936158
coco_000000440171,kmeans_lab,20.844015139247475,0.3,0.3,7.829369444276032,0.6028257284826757,0.41830887499963865
coco_000000453341,dsp,24.732354167788195,0.3,0.2,11.769714092059077,0.49466293631169594,0.4660018750000745
coco_000000453341,median_cut,10.534704304658046,0.3,0.1,8.10019569477195,0.6474394339531295,0.20241170799999963
coco_000000453341,kmeans_rgb,11.229697526870229,0.3,0.1,8.134492150559629,0.5219018239418172,0.09018945799471112
coco_000000453341,kmeans_lab,12.78114605605509,0.2,0.1,8.281558895266466,0.4130428689812719,0.3526142909977352
